playsum,collectsum
14442,54
131882,343
113547648,263
31851,89
127548,193
4102,30
31208,118
127099,894
121647,148
7008,20
3438,8
12212,105
242762,3096
238592,1035
29541,89
32414,137
1846,20
5899,24
5588,22
107661,875
118001,473
209658,3556
20204,58
16622,52
26878,183
12884,62
6928,34
5236,28
20797,100
217294,316
3841,36
39121,1337
3585,35
14858,86
105137,212
7109,37
179880,1558
3795,15
7735,39
40167,305
39025,203
4249,24
4047,7
1552,14
543970,3591
836550,19431
14371,127
18554,143
144449,2740
300437,1366
144995,659
179909,1228
5576,65
4694,48
15971,53
26349,218
3820,52
280256,639
177452,1854
16815,124
103705,688
359724,1285
21926,130
5693,22
2955,44
13925,128
276648,2326
2955,35
111878,1342
95851,547
36236,242
1771,10
6412,45
144386,643
5668,9
76942,413
15253,109
15055,85
28840,379
2153,18
21590,111
5723,18
3388,29
1124,15
6155,35
1296,21
215987,1035
19688,184
15631,75
100193,604
20969,134
2375,23
1069,11
7760,57
2527,22
123827,493
4400,30
2590,22
45455,259
2548,32
157108,346
8902,51
8075,71
6493,44
5992,48
128018,359
6340,66
1275,34
6802,54
12271,111
8995,72
1993,23
2376111,12748
973,9
74599,398
10011,80
68021,314
2472,10
118745,227
39865,235
2068010,21264
3346,27
56245,223
6907,58
4454,30
75964,253
31175,189
2149,24
3123,31
8394,93
6874,25
74032,154
376726,1579
2417,16
6055,64
1666,11
114251,481
1447668,7629
1078,11
43624,186
523,6
168322,578
1489,9
39436,97
3178,47
445055,3884
34795,56
141,1
956645,5184
3140,35
8558,46
11981,50
637,2
2896,17
2800,36
2266,18
3564,43
5068,30
705825,6013
5864387,10
2304176,16595
22391112,34
61726304,173
1797905,14878
81164264,99
46805192,46
7748830,73473
26293078,59
5678287,14
17627406,33
9767490,12
11888597,13
4389031,70136
9238788,19
5455626,16
24329306,62
22216118,48
2297538,84479
18054018,30
3917886,79128
2087490,24956
2109430,32119
10798494,18
1494431,18142
3539614,36025
4010431,59035
29790264,50
6358413,11
2163168,26254
17028564,16
2999198,86793
5580384,33059
3345739,91357
28687198,25
6087298,86841
4277414,15
2054623,22235
11020010,14
2690244,35693
29085312,74
14207568,32
9466501,12
12715736,22
34818716,97
14957682,40
11397989,33
14246174,27
6190054,10
1299850,19047
379540,5514
3094490,70637
2494104,37425
9583247,11
2749037,35178
6828825,11
9722410,15
2695321,42208
4409316,82124
4376003,11
6282196,87415
407923,6663
33124808,54
5742276,15
8752976,18
30025716,70
7919610,11
4295001,74821
18314602,28
1020170,13539
4106394,85058
1501943,16837
5487875,88796
20088468,35
8376189,25
14229502,40
3527501,16873
1230518,9748
194341824,390
4351758,51621
1703885,6632
148536624,247
283704,2860
435530,6228
12074427,37
210674,2525
21491496,74
550979,8920
8295936,21
9646504,14
2371088,33309
1017226,13824
9594947,10
4057463,43107
32889642,61
4213649,64630
1208600,8272
4051450,43421
18293172,24
9432412,10
16551690,31
5066067,21
537552,8034
2406980,51683
4222064,58826
4387303,54463
3398973,29067
1248652,20720
2066088,34551
1694690,50748
556225,4988
12019,638
4763395,26577
364755,4209
3681358,66806
2773457,24671
7788680,14
2161983,26318
849805,19004
4320810,82839
2059370,30955
33230050,72
511180,6742
17488632,16
2391450,17208
1057276,7309
4061112,61636
6913729,45028
2373246,24743
1110338,33650
4808767,81429
2884239,22850
2201316,31371
597574,12286
285562592,331
3513958,38845
1717204,28602
28999264,84
3353018,34857
377320,4908
1763218,25307
3327710,47557
7801481,97382
1224928,18768
924301,6428
522349,4156
6570184,59993
21445178,43
982184,9764
1048507,10562
166800,4895
1924879,17060
17632940,42
13288003,32
18610606,23
4302769,37556
449549,2289
7676993,88730
1123570,18757
523387,2497
10026975,67627
521159,3528
6982631,49433
3807414,58545
206285,701
34412160,78
7459271,10
1206121,13658
697954,4217
10913914,13
704756,4385
13854201,49
18830,130
5130265,96915
2459668,33279
1777361,22396
245509,1481
885274,8013
216256,1484
4209339,96950
331256,3741
3798829,55116
292793,2389
4519231,96663
8147688,73035
4799798,47423
13456176,34
26911336,32
2092803,33057
826411,11834
336070,4329
876790,9576
5697487,11
509618,7918
3349568,36647
1414265,9620
636909,11208
4123266,55218
753520,24720
35236,546
230561,1100
5096999,46704
19070,166
69394936,144
1496927,14187
3109321,43474
6670867,71174
635607,10812
2333415,17906
354881,7266
880012,8904
4610051,36263
490735,5796
249130,5648
2580360,17753
145973,1847
41447936,35
117317,1248
1608696,28837
4010878,86651
1307937,13892
686739,7366
356595,9600
1995471,32297
1208649,7345
3179457,19618
2137021,18017
197902,963
860674,7785
1511646,8444
318442,5823
4140279,39889
2932314,16178
4295251,64492
4796970,59895
342802,2880
287879,3351
6920969,11
1570250,19187
3200579,60192
986680,11071
7406519,53534
11070533,28
4152505,20236
315734,2931
4657492,42477
1764526,47303
1696061,22823
1783620,19395
2397991,28723
1803958,25103
197526,5077
460625,2653
810782,7655
5353652,68191
403240,2428
214249,2413
8820964,14
2757957,54016
1740552,10735
6518202,10
173488,1604
268193,3207
33433858,52
3232972,34100
1452038,9996
794012,6445
363618,4471
50243,402
383131,4587
550463,6815
5118097,65081
9555524,71202
437012,11204
5649976,50903
2898095,29583
407797,7884
2136720,11803
4419604,37016
12124,62
140186,1631
42893,691
4611597,22950
5412860,78849
4157078,71162
1456718,5976
80231,583
493204,8214
12302175,19
211298,4171
1360650,11080
1145075,6074
3347480,35301
5017704,47239
884249,10820
10247003,97944
261975,4014
35450,694
263926,3015
475971,2979
408066,7191
37067560,29
111928,658
710412,1361
65329,784
2000120,24603
6778992,14
725675,9806
766347,4765
56599956,61
179485,1760
33136,547
473704,1361
10792989,99062
1097707,21854
343164,1798
26458,305
14528720,38090
1012748,4691
1419645,13874
2989613,51662
402934,9593
1534339,20143
1675989,8123
2930959,32674
235857,4566
946031,5015
308698,11469
4799,28
2375,12
460,3
1640000,10174
221489,3561
611329,9870
413929,11359
12439,76
196798,2691
10256446,11
143873,1113
777863,10986
516288,2368
771,8
40175,147
24451,250
1294730,8745
94400,1710
102970,939
264925,1736
3644,48
9763,102
